id,name,sku,quantity,price,expiry_date
72,SAVIXIM 100 MG SYRUP,1,4,145,2019-07-07
1029,SAVIXIM DS 200 SYRUP,2,4,245,2019-08-08
63,ACTIFED P TABLET ,3,20,1.5,2020-11-11
61,ZOLID 30 MG TABLETS,4,11,18.5,2019-05-05
1597,CAL ONE D 120 ML SYRUP,5,1,250,2018-07-07
49,AUGMENTIN 375 MG TABLET,6,52,16.33,2019-10-04
1028,KINGTOX SPRAY 325 ML,7,2,230,2020-02-02
1084,ROVISTA 10 MG TABLETS,8,10,20.55,2020-06-06
1140,TULIP POP-UP,9,1,75,2022-02-04
74,HOT WATER BOTTLE 2000 ML,10,1,250,2021-07-07
60,ACTIFED DM SYRUP ,11,1,60,2019-05-05
47,AUGMENTIN DROP,12,2,130,2018-10-10
73,ATENONOL 100 MG TABLET,13,62,3.25,2021-01-01
46,AUGMENTIN BD TABLET,14,14,29.85,2019-10-10
76,AZOMAX 100 MG SYRUP,15,0,227,2018-12-12
68,AMOXIL CAPSUL LOCAL,16,2,3.56,2018-02-02
75,ACICON SYRUP,17,4,50,2018-09-09
1030,SODIUM CHLORIDE INFUSION 0.9,18,10,17.86,2019-11-07
819,SENIOR DIAPERS MEDIUM,19,10,60,2024-10-10
64,DERMOSPORIN CREAM,20,6,70,2021-04-04
51,AMOXIL 125 MG SYRUP,21,2,64.4,2020-06-06
50,AMOXIL FORTE 250 MG  SYRUP,22,2,83.95,2020-06-06
65,ACTIDIL SYRUP ,23,1,17.81,2018-10-10
62,ACTIFED P SYRUP ,24,0,50,2021-04-04
70,AVIL SYRUP,25,2,53,2020-06-06
2030,CO-EZIDAY TABLETS,26,40,15,2019-09-09
1139,BENZYL PENICILLIN SODIUM 1000000,27,10,14,2020-03-03
69,CORNETTO BLACK FOREST,28,8,55,2019-12-12
1085,JOHNSONS BABY OIL 75+25 ML,29,2,200,2019-08-08
1598,REVITALE B TABLES,30,2,143.02,2019-03-03
85,SATHI 3X20 PACKS,31,20,15,2019-11-11
1086,JOHNSONS BABY POWDER 100 G,32,2,100,2022-02-05
91,ALDOMET 250 MG TABLET,33,92,6.38,2020-04-04
92,ADALAT RETARD TABLET,34,47,5.69,2020-02-02
82,LORCAM 8 MG TABLETS,35,30,13,2019-06-06
88,ABOCAL  TABLET,36,0,122,2020-04-04
1141,OLESTA 40 MG TABLET,37,10,24,2018-05-05
67,AMPICLOX 250 CAPSUL,38,32,3.1,2019-03-03
105,PROLIFEN 50 MG CAPSULES,39,8,40.27,2021-11-11
98,BATNESOL N DROP ,40,8,33.89,2018-08-08
96,BRITANYL SYRUP,41,4,33.12,2020-02-02
89,AXICOBAL TABLET,42,51,4.55,2019-08-08
93,ANTIAL 10 MG TABLET,43,17,11,2020-06-06
83,ADALIN  SYRUP ,44,3,37,2019-09-09
84,ARQ E GULAB 20 ML DROPS QARSHI,45,43,25,2018-10-10
79,MIGRAM 5 MG CAPSULES,46,8,7.66,2019-08-08
1017,ARQ-E-MEHZAL 800 ML,47,1,350,2018-05-25
97,LIBRAX 5+2.5 MG TABLET,48,55,4,2020-01-01
45,AUGMENTIN 156.25 MG SYRUP,49,2,106.5,2019-06-06
543,DMOST  SYRUP,50,11,180,2019-02-02
1032,AUGMENTIN DS 90 ML SYRUP,51,3,165.33,2019-08-10
103,BETNESOL EYE OINTNENT,52,1,21.07,2019-08-08
820,DERMOSPORIN SOLUTION,53,1,48.43,2020-04-04
101,BETNOVATE N OINTMENT,54,2,33.35,2018-11-11
55,ACEFYL SYRUP,55,10,51.43,2019-11-11
99,BATNESOL TABLET,56,40,1.25,2018-05-05
95,MABIL INJECTION,57,20,25.5,2019-08-08
80,TRAMAL 100 MG INJECTION,58,5,59.5,2019-09-09
119,BRUFEN DS  SYRUP,59,7,60.86,2019-10-10
124,OSTEOCAL D3 DROPS,60,1,270,2019-04-04
2031,LEVODEN 500 MG TABLETS,61,40,41.6,2022-02-16
106,BABY O.R.S,62,9,70,2018-02-02
118,QSARTAN PLUS 50_12.5 TABLETS,63,20,15,2018-09-09
126,BRUFEN CREAM,64,3,44,2020-05-05
1599,FYNKOBEN CREAM,65,1,30,2018-03-03
123,BEPANTHEN PLUS CREAM,66,3,63.38,2019-10-10
122,BRUFEN 200 MG TABLET ,67,263,0.89,2019-11-11
130,ALWAYS MAXI THICK EXTRA LONG 18 PEAC,68,1,290,2018-12-09
131,MONIS 40 MG TABLETS,69,20,7,2020-03-03
1600,CARIPEPTIC TABLETS,70,2,261.45,2018-05-05
135,ONITA SACHET,71,7,110,2018-05-05
125,BROPHYL D SYRUP,72,6,50,2018-05-05
1088,CONCOR 2.5 MG TABLETS,73,50,4.28,2020-07-07
116,BASCODIL TABLET LOZ,74,324,0.3,2018-11-11
1120,CORNETTO CLASSICO CP,75,7,55,2018-07-07
136,CAC 1000 PLUS ORANGE FLAVOUR TABLETS,76,2,124.44,2019-08-08
133,COLGATE SENSITIVE ORIGINAL 100 GR,77,3,125,2020-05-15
115,BCOMPLEX TABLET LOZ,78,1000,0.2,2019-07-07
127,SURGEE CREPE BANDAGE LARGE,79,2,105,2020-05-05
128,SURGEE CREPE BANDAGE MEDIUM,80,3,87,2020-05-05
1087,JOHNSONS BABY POWDER 200 G,81,0,160,2022-02-04
821,CERTEZA GLUCOSE MONITOR,82,1,1500,2021-10-28
129,EZIDAY 25 MG TABLET,83,10,9.9,2018-11-11
1033,ICON 100 MG CAPSULES,84,4,53.84,2019-06-06
117,CEF-OD 400 MG CAPSULES,85,8,65,2018-11-11
121,BRUFEN 400 MG TABLET,86,160,2.39,2019-10-10
134,CALCIUM P SYRUP,87,4,54,2020-09-07
1089,SKIN WHITE DRY SKIN SOAP,88,0,50,2019-10-03
1602,KENACORT-A INJECTION,89,5,49.22,2019-03-03
166,COLIC 90 ML SYRUP,90,1,70,2018-07-07
1059,COLGATE PLAX FRESHMINT SPLASH MOUTHWASH,91,2,230,2018-09-09
149,CLOPAN INJECTION,92,5,20,2019-04-04
137,CAC PLUS TABLT LARGE,93,3,236.44,2019-09-09
165,CALPOL 6 PLUS SYRUP ,94,8,54.52,2020-08-08
138,BEXACIM FORTE SYRUP,95,5,200,2018-12-12
159,CARE NIPPLE,96,21,25,2021-12-28
140,CANESTEN CREAM,97,2,54.66,2020-05-05
158,PACIFIC MIXTURE 120 ML SYRUP,98,10,63.34,2020-09-09
160,COSOME SYRUP,99,0,80,2019-08-08
161,RUBIFER TABLET ,100,20,9.88,2020-03-03
148,COLDREX TABLET,101,82,2,2019-10-10
1601,MOXIGET 400 MG TABLETS,102,5,79,2019-08-08
144,COTRI TABLET ,103,129,2,2020-09-09
152,COREX D 120 ML SYRUP,104,15,72.1,2019-08-08
155,CARICEF 400 MG CAPSUL,105,20,75,2019-09-09
162,CEFSPAN 100 MG SYRUP ,106,1,290.09,2019-08-08
823,SONY CELL,107,4,50,2021-01-11
145,NIVAQUINE P 250 MG TABLETS,108,6,1.41,2019-09-09
109,BRUFEN POND ,109,3,45,2019-08-08
150,CICATRIN POWDER,110,3,44.85,2019-09-09
167,COLIC DROP,111,2,60,2019-10-10
163,CEFSPAN DS SYRUP ,112,2,350,2018-08-08
157,CEPOREX 250 MG SYRUP,113,2,155,2019-07-07
156,CEPOREX 125 MG SYRUP,114,1,90.27,2018-11-11
146,CANESTEN TABLET,115,2,138.92,2020-01-01
153,CARICEF 100 MG SYRUP,116,8,165,2019-09-09
822,CERTEZA GLUCOSE STRIPS,117,50,25,2018-03-02
172,COBOLMIN INJECTION,118,10,39.26,2019-06-06
188,CANDEREL 100 TABLET,119,1,100,2020-09-09
322,MO TU 7.5 MG TABLETS ,120,20,6.2,2018-12-12
195,CEPOREX 250 MG CAPSULES,121,12,8.62,2019-05-05
193,COMBINOL H+PLUS SYRUP,122,2,115,2019-02-02
173,COBOLMIN TABLET,123,17,6.8,2018-12-12
66,AMPICLOX 500 MG CAPSUL,124,97,5.88,2019-07-07
182,COBRA-120 TABLET,125,26,50,2020-10-10
2032,HI-SERVIN 30 ML SYRUP,126,1,91.2,2018-12-12
180,CECON  DRAP,127,2,37.63,2018-02-02
181,CENTRUM TABLET,128,85,5.83,2018-04-04
178,CLARITEK SYRUP,129,1,231,2018-09-09
1090,ABBOTT BLOOD GLUCOSE STRIP,130,5,30,2018-07-31
179,CECON TABLET,131,0,97.78,2018-09-09
175,COFCOL TABLET,132,0,2,2022-02-02
168,OVAFIN 50 MG TABLETS,133,10,28.9,2020-05-05
186,CLOBEDERM NN OINTMEN,134,8,48,2019-08-08
191,CIMET 400 MG TABLET,135,44,4.8,2020-07-07
184,CITRO SODA ORANGE FLAVOURED,136,17,11.5,2018-12-12
183,CRAN MAX SACHETS,137,12,29.5,2019-09-09
824,TORADOL 30 MG INJECTION,138,1,116.4,2019-05-05
1640,MOSEGOR V 120 ML SYRUP,139,1,156.5,2020-05-05
174,NEUROMAX TABLETS,140,20,9,2019-05-05
177,CEPOREX DRAPS,141,3,75.06,2019-03-03
170,LISPRIL 5MG TABLETS,142,30,2.7,2019-07-07
185,CLOBEDERM CAREM,143,7,32.2,2019-06-06
192,DEPO-MEDROL 80 MG_2 ML INJECTION,144,1,234.85,2019-09-09
187,CLOBEDERM OINTMENT,145,10,51.75,2019-08-08
2033,VELORA 125 MG SYRUP,146,5,71,2019-01-01
1091,SKIN WHITE SENSITIVE SKIN SOAP,147,0,50,2019-08-08
206,ED-3 INJECTION,148,2,145,2019-05-05
227,ESSO 20 MG CAPSUL,149,14,11.5,2019-02-02
219,SPRINGLEY WATER 1500 ML QARSHI,150,5,60,2018-12-12
228,ESSO 40 MG CAPSULS,151,29,21.85,2019-02-02
