id,name,sku,quantity,price_cents,expiry_date
44,UNIVERSAL SOFT COLLAR LARGE,441,1,30000,2023-05-05
45,AUGMENTIN 156.25 MG SYRUP,49,3,10650,2019-11-17
46,AUGMENTIN BD TABLET,14,14,2985,2019-10-13
47,AUGMENTIN DROP,12,1,13000,2018-10-10
48,AUGMENTIN 625 MG TABLET,1016,20,2166,2019-11-30
49,AUGMENTIN 375 MG TABLET,6,36,1633,2019-10-04
50,AMOXIL FORTE 250 MG  SYRUP,22,3,8395,2020-07-30
51,AMOXIL 125 MG SYRUP,21,6,6440,2020-09-30
52,AMOXIL DROPS,869,3,5175,2019-09-09
53,AMOXIL 500 MG CAPSUL,887,15,861,2019-10-30
54,AMOXIL 250 MG CAPSUL,271,50,356,2019-10-18
55,ACEFYL SYRUP,55,45,5143,2021-01-30
56,ACEFYL GREEN SYRUP,1019,21,5404,2020-11-01
57,ARINAC SYRUP ,436,8,6582,2019-12-30
58,ARINAC FORT TABLET,759,87,460,2019-11-30
59,ARINAC TABLET,1107,68,263,2019-12-30
60,ACTIFED DM SYRUP ,11,1,6000,2019-05-05
61,ZOLID 30 MG TABLETS,4,11,1850,2019-05-05
62,ACTIFED P SYRUP ,24,0,5000,2021-04-04
63,ACTIFED P TABLET ,3,0,150,2020-11-11
64,DERMOSPORIN CREAM,20,6,7000,2021-04-04
65,ACTIDIL SYRUP ,23,8,1781,2019-12-31
66,AMPICLOX 500 MG CAPSUL,124,76,588,2019-07-07
67,AMPICLOX 250 CAPSUL,38,22,310,2019-03-03
68,AMOXIL 250 MG CAPSUL LOCAL,16,42,310,2019-09-30
69,CORNETTO BLACK FOREST,28,6,5500,2019-12-12
70,AVIL SYRUP,25,5,5300,2020-08-08
71,AVIL 25 MG TABLETS,573,358,58,2020-10-30
72,SAVIXIM 100 MG SYRUP,1,7,14500,2019-10-30
73,ATENONOL 100 MG TABLET,13,62,325,2021-01-01
74,HOT WATER BOTTLE 2000 ML,10,2,25000,2021-07-07
75,ACICON SYRUP,17,4,5000,2018-09-09
76,AZOMAX 100 MG SYRUP,15,0,22700,2018-12-12
77,AZOMAX 250 MG CAPSUL,330,0,3316,2019-08-08
78,AZOMAX 500 MG TABLET,224,0,4666,2019-07-07
79,MIGRAM 5 MG CAPSULES,46,8,766,2019-08-08
80,TRAMAL 100 MG INJECTION,58,10,5950,2019-10-30
81,MAXIL 125 MG DROPS,605,5,4400,2018-09-09
82,LORCAM 8 MG TABLETS,35,30,1300,2019-06-06
83,ADALIN  SYRUP ,44,13,3700,2019-10-30
84,ARQ E GULAB 20 ML DROPS QARSHI,45,34,2500,2018-10-10
85,SATHI 3X20 PACKS,31,7,1500,2019-11-11
86,AM POND,1067,4,4300,2019-11-11
87,ANSAID  TABLET,174,107,713,2020-09-30
88,ABOCAL  TABLET,36,5,12444,2018-10-30
89,AXICOBAL TABLET,42,46,455,2019-10-30
90,AMINOPHYLLINE TABLET,1159,580,30,2019-10-10
